Day,writing (time m),topic
03-04-2017,75,Regulation and limitation of population levels in a Neotropical forest palm
05-04-2017,15,Legends Attalea poaching story
12-04-2017,25,Legends Attalea poaching story
20-04-2017,20,Legends sketches
10-05-2017,120,Introduction Attalea
11-05-2017,60,Introduction Attalea
14-05-2017,25,trackDem revision
18-05-2017,90,trackDem revision
18-06-2017,90,trackDem revision
21-06-2017,90,Liana prevalence ms
28-06-2017,180,Liana prevalence ms
21-07-2017,120,Liana prevalence ms
22-07-2016,120,Liana prevalence ms
23-07-2015,120,Liana prevalence ms
14-08-2017,140,Attalea 
15-08-2017,35,Attalea 
17-08-2017,20,Attalea 
16-08-2017,100,Attalea 
22-08-2017,240,Attalea 
23-08-2017,240,Attalea 
25-08-2017,240,Attalea 
24-08-2017,240,Attalea 
